RegionName;NavigationChain;Name;Price;OldPrice;Availability;ProductUrl;ImageUrl
Санкт-Петербург;Главная/Каталог продукции/Конструкторы LEGO/Конструкторы LEGO DUPLO (ЛЕГО ДУПЛО)/Lego Duplo 2304 Лего Дупло Строительная пластина (38х38)/;Lego Duplo 2304 Лего Дупло Строительная пластина (38х38);0;0;Нет в наличии;https://www.toy.ru/catalog/duplo/lego_duplo_2304_lego_duplo_stroitelnaya_plastina_38kh38/;"https://cdn.toy.ru/upload/iblock/602/6197d787_e5b0_11df_9723_00210091c2bb.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/f06/6197d787_e5b0_11df_9723_00210091c2bb2304_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/755/6197d787_e5b0_11df_9723_00210091c2bb2304_3.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/602/80_80_10240811ca8906714d1a9f41f2f5b358d/6197d787_e5b0_11df_9723_00210091c2bb.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/f06/80_80_10240811ca8906714d1a9f41f2f5b358d/6197d787_e5b0_11df_9723_00210091c2bb2304_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/755/80_80_10240811ca8906714d1a9f41f2f5b358d/6197d787_e5b0_11df_9723_00210091c2bb2304_3.jpeg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Спецтехника /Wow Wee 5569 Power Treads Вездеход с автотреком/;Wow Wee 5569 Power Treads Вездеход с автотреком;4599;5119;В наличии;https://www.toy.ru/catalog/toys-spetstekhnika/wow_wee_5569_power_treads_vezdekhod_s_avtotrekom/;"https://cdn.toy.ru/upload/iblock/503/81ufxnehcjl._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/a90/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/79a/61grl_o_w6l._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/961/71qaofelkll._ac_sl1500_.jpg?_cvc=1694840160;https://i.ytimg.com/vi/5mDxaaI5AbI/maxresdefault.jpg;https://cdn.toy.ru/upload/resize_cache/iblock/503/80_80_10240811ca8906714d1a9f41f2f5b358d/81ufxnehcjl._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/a90/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/79a/80_80_10240811ca8906714d1a9f41f2f5b358d/61grl_o_w6l._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/961/80_80_10240811ca8906714d1a9f41f2f5b358d/71qaofelkll._ac_sl1500_.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Распродажа игрушек для детей /Ликвидация товара/Paw Patrol 16605 Щенячий патруль Машинка спасателя (в ассортименте)/;Paw Patrol 16605 Щенячий патруль Машинка спасателя (в ассортименте);597;929;В наличии;https://www.toy.ru/catalog/igrushki_so_skidkoy/paw_patrol_16605_shchenyachiy_patrul_inertsionnaya_mashinka_spasatelya/;"https://cdn.toy.ru/upload/iblock/2b5/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/dce/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/6b4/2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/e49/778988239728_20075006_rescue-racer_apollo-super-pup_vn_m11_gbl_product_2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/474/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/1cf/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_4.jpeg?_cvc=1694840160;https://i.ytimg.com/vi/Qj5TmJbQhAU/mqdefault.jpg;https://cdn.toy.ru/upload/resize_cache/iblock/2b5/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/dce/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/6b4/80_80_10240811ca8906714d1a9f41f2f5b358d/2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/e49/80_80_10240811ca8906714d1a9f41f2f5b358d/778988239728_20075006_rescue-racer_apollo-super-pup_vn_m11_gbl_product_2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/474/80_80_10240811ca8906714d1a9f41f2f5b358d/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/1cf/80_80_10240811ca8906714d1a9f41f2f5b358d/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_4.jpeg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Мягкие игрушки/Мягкие игрушки домашние животные/Secret Life of Pets 72809 Тайная жизнь домашних животных Плюш со звук. эффектами (в ассортименте)/;Secret Life of Pets 72809 Тайная жизнь домашних животных Плюш со звук. эффектами (в ассортименте);0;0;Нет в наличии;https://www.toy.ru/catalog/domashnie_zveri/secret_life_of_pets_72809_taynaya_zhizn_domashnikh_zhivotnykh_plyush_so_zvukovymi_effektami_v_assort/;"https://cdn.toy.ru/upload/iblock/75a/2ec38338_cfd2_11e5_be7a_00155d093116.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/871/2ec38338_cfd2_11e5_be7a_00155d09311672809_4.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/b98/2ec38338_cfd2_11e5_be7a_00155d09311672809_3.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/b60/2ec38338_cfd2_11e5_be7a_00155d09311672809_2.jpeg?_cvc=1694840160;https://i.ytimg.com/vi/BGUmL8OTQhU/maxresdefault.jpg;https://cdn.toy.ru/upload/resize_cache/iblock/75a/80_80_10240811ca8906714d1a9f41f2f5b358d/2ec38338_cfd2_11e5_be7a_00155d093116.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/871/80_80_10240811ca8906714d1a9f41f2f5b358d/2ec38338_cfd2_11e5_be7a_00155d09311672809_4.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/b98/80_80_10240811ca8906714d1a9f41f2f5b358d/2ec38338_cfd2_11e5_be7a_00155d09311672809_3.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/b60/80_80_10240811ca8906714d1a9f41f2f5b358d/2ec38338_cfd2_11e5_be7a_00155d09311672809_2.jpeg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Товары для малышей/Игрушки для малышей/Развивающие игрушки для малышей/Mattel Fisher-Price FLR18 Фишер Прайс Лягушка Измеряем и сравниваем/;Mattel Fisher-Price FLR18 Фишер Прайс Лягушка Измеряем и сравниваем;3129;3289;В наличии;https://www.toy.ru/catalog/toys-razvivayushchie-igrushki/mattel_fisher_price_flr18_fisher_prays_lyagushka_izmeryaem_i_sravnivaem/;"https://cdn.toy.ru/upload/iblock/096/mattel_razvivayushchaya_lyagushka_fisher_price_flr18_izmeryaem_i_sravnivaem_759545_1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/aff/mattel_razvivayushchaya_lyagushka_fisher_price_flr18_izmeryaem_i_sravnivaem_759545_2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/da8/mattel_razvivayushchaya_lyagushka_fisher_price_flr18_izmeryaem_i_sravnivaem_759545_3.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/096/80_80_10240811ca8906714d1a9f41f2f5b358d/mattel_razvivayushchaya_lyagushka_fisher_price_flr18_izmeryaem_i_sravnivaem_759545_1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/aff/80_80_10240811ca8906714d1a9f41f2f5b358d/mattel_razvivayushchaya_lyagushka_fisher_price_flr18_izmeryaem_i_sravnivaem_759545_2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/da8/80_80_10240811ca8906714d1a9f41f2f5b358d/mattel_razvivayushchaya_lyagushka_fisher_price_flr18_izmeryaem_i_sravnivaem_759545_3.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Распродажа игрушек для детей /Ликвидация товара/Ooba NPD1807B Настольная игра 5 маленьких рыбок/;Ooba NPD1807B Настольная игра 5 маленьких рыбок;899;999;В наличии;https://www.toy.ru/catalog/igrushki_so_skidkoy/ooba_npd1807b_nastolnaya_igra_5_malenkikh_rybok/;"https://cdn.toy.ru/upload/iblock/967/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/13a/c06334ef769e12d281f3dbd612777241.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/6aa/47e1e25d420e5838c3bb28e51c0e66a3.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/967/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/13a/80_80_10240811ca8906714d1a9f41f2f5b358d/c06334ef769e12d281f3dbd612777241.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/6aa/80_80_10240811ca8906714d1a9f41f2f5b358d/47e1e25d420e5838c3bb28e51c0e66a3.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Товары для малышей/Подгузники и гигиена/Подгузники и пеленки/LUXSAN 26660 Пелёнка Baby 60х60 с рисунком/;LUXSAN 26660 Пелёнка Baby 60х60 с рисунком;399;569;В наличии;https://www.toy.ru/catalog/podguzniki_i_pelenki/luxsan_26660_pelyenka_baby_60kh60_s_risunkom/;"https://cdn.toy.ru/upload/iblock/86c/pelyonka_baby_60h60_s_risunkom_20_6_luxsan_528515_1.png?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/86c/80_80_10240811ca8906714d1a9f41f2f5b358d/pelyonka_baby_60h60_s_risunkom_20_6_luxsan_528515_1.png?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Куклы и аксессуары к ним (одежда, туфли, платья)/Shibajuku Girls/Shibajuku Girls HUN8530 Кукла Кое 4, 33 см/;Shibajuku Girls HUN8530 Кукла Кое 4, 33 см;1599;2939;В наличии;https://www.toy.ru/catalog/shibajuku_girls/shibajuku_girls_hun8530_kukla_koe_4_33_sm/;"https://cdn.toy.ru/upload/iblock/f87/hun8530.png?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/4c4/hun8530-koe-_1_.jpg?_cvc=1694840160;https://i.ytimg.com/vi/f4bIUkkUWjM/mqdefault.jpg;https://cdn.toy.ru/upload/resize_cache/iblock/f87/80_80_10240811ca8906714d1a9f41f2f5b358d/hun8530.png?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/4c4/80_80_10240811ca8906714d1a9f41f2f5b358d/hun8530-koe-_1_.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Конструкторы LEGO/Lego Legends of Chima (Лего Легенды Чимы)/Лего Чима 6031657_1 Конструктор Keychain Cragger/;Лего Чима 6031657_1 Конструктор Keychain Cragger;0;0;Нет в наличии;https://www.toy.ru/catalog/legendy_chima/lego_legends_of_chima_6031657_1_lego_legendy_chimy_keychain_cragger/;
Санкт-Петербург;Главная/Каталог продукции/Развивающие игры и хобби/Наборы для творчества/Kinetic sand 71435 Кинетик сэнд Морской песок 1,4 кг коричневый/;Kinetic sand 71435 Кинетик сэнд Морской песок 1,4 кг коричневый;1519;1679;В наличии;https://www.toy.ru/catalog/toys-nabory-dlya-tvorchestva/kinetic_sand_71435_kinetik_send_morskoy_pesok_1_4_kg_korichnevyorskoy_pesok_1_4_kg_korichnevyy/;"https://cdn.toy.ru/upload/iblock/1d8/8ccf3bc3_6066_11e6_b115_00155d093116.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/435/8ccf3bc3_6066_11e6_b115_00155d09311671435_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/1d8/80_80_10240811ca8906714d1a9f41f2f5b358d/8ccf3bc3_6066_11e6_b115_00155d093116.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/435/80_80_10240811ca8906714d1a9f41f2f5b358d/8ccf3bc3_6066_11e6_b115_00155d09311671435_2.jpeg?_cvc=1694840160;"
